mes,X_hat,lower,upper
2025-06-30,10.720334323116704,7.387332131301303,14.053336514932106
2025-07-31,11.584675427879096,7.898616414095194,15.270734441662999
2025-08-31,10.89835020304784,6.890213666507595,14.906486739588086
2025-09-30,9.728898680843649,5.422707099178927,14.03509026250837
2025-10-31,8.586722496211612,4.0018110051955205,13.171633987227704
2025-11-30,9.335483631690739,4.4878511350071575,14.18311612837432
2025-12-31,9.399220201064727,4.302390964632142,14.496049437497312
2026-01-31,10.911964324535187,5.577566916410699,16.246361732659675
2026-02-28,9.297128774180045,3.735301453033106,14.858956095326985
2026-03-31,9.502309615394548,3.721993828804007,15.28262540198509
2026-04-30,9.015030648802478,3.0241894695389924,15.005871828065963
2026-05-31,8.852129552285003,2.657914067043115,15.04634503752689
