ID,BIC,p,q,P,Q,log_likelihood,n_params,aic
160,850.503597115771,3,2,2,0,-403.6052143504653,8,823.2104287009306
34,850.5872445183965,0,3,2,0,-409.018772206754,6,830.037544413508
98,850.6053349998373,2,0,2,1,-409.0543662933054,6,830.1087325866108
120,850.7226917876643,2,3,0,2,-403.7326588079917,8,823.4653176159834
147,850.8663703027676,3,1,0,2,-406.4768337436683,7,826.9536674873366
72,850.9323415648663,1,2,2,2,-403.819586575013,8,823.639173150026
123,851.0815392638358,2,3,1,2,-401.20849666034735,9,820.4169933206947
71,851.236856802207,1,2,2,1,-406.6465559036505,7,827.293111807301
197,851.3549564789,4,1,2,1,-401.34520526787946,9,820.6904105357589
150,851.4737411230876,3,1,1,2,-404.0724689527261,8,824.1449379054523
189,851.4759145730923,4,0,2,2,-401.4056843149756,9,820.8113686299512
129,851.6471805897742,2,4,0,2,-401.5115420764618,9,821.0230841529236
156,852.6684810512268,3,2,0,2,-404.6876563181932,8,825.3753126363864
90,852.7545663871098,1,4,2,2,-399.3638962841935,10,818.727792568387
116,852.7716476126627,2,2,2,1,-404.7214221975137,8,825.4428443950274
81,852.7912061186277,1,3,2,2,-402.0633300877433,9,822.1266601754866
108,852.8656912986071,2,1,2,2,-404.76844404048586,8,825.5368880809717
219,852.988838407726,4,4,0,2,-396.7796936035655,11,815.559387207131
132,852.9895712935507,2,4,1,2,-399.481398737414,10,818.962797474828
79,853.1239062738679,1,3,2,0,-407.59008063948096,7,829.1801612789619
43,853.192682327619,0,4,2,0,-407.6090161026246,7,829.2180322052492
159,853.4255795907459,3,2,1,2,-402.3603825620253,9,822.7207651240506
161,853.4363765427634,3,2,2,1,-402.365781038034,9,822.731562076068
205,853.4494871304635,4,2,2,0,-402.3924705936612,9,822.7849411873224
35,853.532036970971,0,3,2,1,-407.7786934243006,7,829.5573868486013
124,853.646129649454,2,3,2,0,-405.1586632159093,8,826.3173264318186
96,853.9284794264204,2,0,1,2,-410.70263471539334,6,833.4052694307867
183,854.0993487616698,4,0,0,2,-408.07780188338194,7,830.1556037667639
153,854.1294453628805,3,1,2,2,-402.71231544809257,9,823.4246308961851
186,854.5811866537206,4,0,1,2,-405.6084533297711,8,827.2169066595422
117,854.749037671988,2,2,2,2,-403.02211160264636,9,824.0442232052927
165,855.1242937047275,3,3,0,2,-403.2298738807932,9,824.4597477615864
93,855.2826848095358,2,0,0,2,-414.0900049065872,5,838.1800098131744
223,855.3226510642986,4,4,2,0,-397.92188078911863,11,817.8437615782373
88,855.7362044379943,1,4,2,0,-406.18596222190797,8,828.3719244438159
169,855.8640687244263,3,3,2,0,-403.57962712886547,9,825.1592542577309
80,855.9728897846994,1,3,2,1,-406.30430489526054,8,828.6086097905211
99,856.0206179420095,2,0,2,2,-409.05395756328926,7,832.1079151265785
168,856.1477569033559,3,3,1,2,-401.0380195943774,10,822.0760391887547
192,856.210106785926,4,1,0,2,-406.4406517841453,8,828.8813035682906
126,856.3516108514168,2,3,2,2,-401.1399465684078,10,822.2798931368156
206,856.6263622386177,4,2,2,1,-401.2773222620083,10,822.5546445240166
125,856.628288147001,2,3,2,1,-403.9416922635806,9,825.8833845271612
198,856.7010242390061,4,1,2,2,-401.31465326220246,10,822.6293065244049
195,856.7628205253438,4,1,1,2,-404.00895845275204,9,826.0179169055041
44,856.7988009042929,0,4,2,1,-406.6996003822208,8,829.3992007644416
174,856.9974543875908,3,4,0,2,-401.485340284434,10,822.970680568868
133,858.019521669501,2,4,2,0,-404.63730902483064,9,827.2746180496613
135,858.0459686371545,2,4,2,2,-399.3082587182797,11,820.6165174365594
177,858.3883377106184,3,4,1,2,-399.4794432550117,11,820.9588865100234
214,858.5679152214495,4,3,2,0,-402.2480987534242,10,824.4961975068484
170,858.7243439682364,3,3,2,1,-402.303941724843,10,824.607883449686
201,858.7854325772369,4,2,0,2,-405.04030905527077,9,828.0806181105415
162,858.8013472111361,3,2,2,2,-402.34244334629284,10,824.6848866925857
89,859.265286524201,1,4,2,1,-405.2402357653752,9,828.4804715307504
204,859.6329350288493,4,2,1,2,-402.7582372551494,10,825.5164745102988
178,860.7848712164475,3,4,2,0,-403.33420534894856,10,826.6684106978971
210,860.9369515480853,4,3,0,2,-403.43261691674206,10,826.8652338334841
134,861.1281335198676,2,4,2,1,-403.4835647489117,10,826.9671294978234
171,861.2237493655877,3,3,2,2,-400.87242993976315,11,823.7448598795263
215,861.3365884618164,4,3,2,1,-400.9288494878775,11,823.857698975755
213,861.5556698128186,4,3,1,2,-401.0383901633786,11,824.0767803267572
207,862.0031554022831,4,2,2,2,-401.2621329581109,11,824.5242659162218
52,862.7927355426924,1,0,2,0,-420.5552977728016,4,849.1105955456032
180,863.509225108547,3,4,2,2,-399.3385482630398,12,822.6770965260796
222,863.7818389278312,4,4,1,2,-399.47485517268194,12,822.9497103453639
179,863.9417540746524,3,4,2,1,-402.2068237521235,11,826.413647504247
53,865.5513320654146,1,0,2,1,-419.2243285345266,5,848.4486570690532
51,866.1193524898815,1,0,1,2,-419.50833874676005,5,849.0166774935201
224,866.6705281099456,4,4,2,1,-400.8922334262121,12,825.7844668524242
216,866.7512474232474,4,3,2,2,-400.932593082863,12,825.865186165726
48,867.062294374064,1,0,0,2,-422.6900771884874,4,853.3801543769748
225,868.9151621939938,4,4,2,2,-399.34017811482704,13,824.6803562296541
54,870.9717991586713,1,0,2,2,-419.2242945815188,6,850.4485891630376
20,871.2586585441112,0,2,0,1,-424.70166566200436,4,857.4033313240087
38,871.5648830308495,0,4,0,1,-419.41647816935165,6,850.8329563387033
11,871.892185545987,0,1,0,1,-427.7440025612908,3,861.4880051225816
23,873.0492009066679,0,2,1,1,-422.8650209407699,5,855.7300418815398
139,873.1825137861332,3,0,1,0,-422.93167738050255,5,855.8633547610051
29,873.2987041086141,0,3,0,1,-423.0003882689466,5,856.0007765378932
14,873.7569699885884,0,1,1,1,-425.9423647120239,4,859.8847294240478
41,874.2953616149886,0,4,1,1,-418.0540569037423,7,850.1081138074846
32,874.465453223009,0,3,1,1,-420.85397006907203,6,853.7079401381441
56,874.8176049828717,1,1,0,1,-426.47268220916555,4,860.9453644183311
173,875.0469796575393,3,4,0,1,-412.97454480965996,9,843.9490896193199
184,875.448917135508,4,0,1,0,-421.34570202532154,6,854.6914040506431
65,876.4771632438021,1,2,0,1,-424.579002109337,5,859.158004218674
13,876.7241989075567,0,1,1,0,-430.14740412588105,3,866.2948082517621
140,876.7652298709359,3,0,1,1,-421.99111952039107,6,855.9822390407821
