Date,Original,Fitted,Residuals
1997-06-01,1.0,,1.0
1997-07-01,1.0333333333333334,,0.03333333333333344
1997-08-01,2.212121212121212,,1.1787879296544181
1997-09-01,5.689655172413793,,3.477535759117022
1997-10-01,6.0,,0.310350134288254
1997-11-01,6.03030303030303,,0.0303035038957713
1997-12-01,6.206896551724138,,0.17659356766410195
1998-01-01,6.206896551724138,,2.694808944880833e-07
1998-02-01,4.696969696969697,,-1.5099268547540294
1998-03-01,6.206896551724138,,1.5099245506136683
1998-04-01,5.586206896551724,,-0.6206873510351567
1998-05-01,5.625,,0.0387921562825051
1998-06-01,6.655172413793103,,0.6360652883306877
1998-07-01,6.566666666666666,,-0.11477975416439623
1998-08-01,5.454545454545454,,-2.0412595336824246
1998-09-01,6.206896551724138,,-1.9886893802843852
1998-10-01,6.40625,,-0.0452710654819759
1998-11-01,6.0,,-0.4301357205435181
1998-12-01,6.827586206896552,,0.6883921345675512
1999-01-01,6.4375,,-0.3900837215225472
1999-02-01,6.0,,0.7526409358297768
1999-03-01,6.206896551724138,,-0.9832431434864928
1999-04-01,6.03125,,0.3135854409575778
1999-05-01,6.0,,-0.06182646631247657
1999-06-01,5.724137931034483,,-1.087857841768055
1999-07-01,5.625,,-0.029377373932939932
1999-08-01,6.0,,1.251587416561268
1999-09-01,6.6,,0.5235833850350335
1999-10-01,6.5,,0.003360400069168712
1999-11-01,5.344827586206897,,-0.8332162140873258
1999-12-01,6.0,,-0.43491058008868944
2000-01-01,6.354838709677419,,0.4330870374656266
2000-02-01,6.833333333333333,,1.0518005585388774
2000-03-01,6.586206896551724,,0.14476469326708497
2000-04-01,4.2727272727272725,,-2.098641504505144
2000-05-01,6.548387096774194,,1.1928667027765396
2000-06-01,6.206896551724138,,0.5054079241041034
2000-07-01,6.0,,-0.11651264267770056
2000-08-01,6.125,,0.3281209242681049
2000-09-01,6.620689655172414,,0.19212317761562225
2000-10-01,7.064516129032258,,0.5097081512901127
2000-11-01,6.3125,,0.059026036015293215
2000-12-01,7.741935483870968,,0.9453992218397334
2001-01-01,6.428571428571429,,-0.8026759666697867
2001-02-01,5.454545454545454,,-1.4122009213548052
2001-03-01,6.689655172413793,,0.5040910233708402
2001-04-01,6.575757575757576,,1.0179528191668972
2001-05-01,6.206896551724138,,-0.6125820283172576
2001-06-01,5.333333333333333,,-0.9822709949570694
2001-07-01,3.8125,,-2.047332179254444
2001-08-01,3.3793103448275863,,-1.4236920640701198
2001-09-01,3.606060606060606,,-0.8959140921619606
2001-10-01,3.6551724137931036,,-0.547664986432387
2001-11-01,3.8666666666666667,,0.4339219303237689
2001-12-01,3.90625,,-0.3761261523950612
2002-01-01,4.0344827586206895,,0.2558186316656319
2002-02-01,3.933333333333333,,0.25181827638124066
2002-03-01,4.03125,,-0.06977028586536438
2002-04-01,4.310344827586207,,0.8035836681408903
2002-05-01,4.0606060606060606,,-0.22058326841342968
2002-06-01,4.9655172413793105,,1.1338045346869956
2002-07-01,5.9,,1.9442187694251216
2002-08-01,5.393939393939394,,0.6352629999712107
2002-09-01,5.551724137931035,,0.23058609137287522
2002-10-01,5.46875,,-0.058950492510985164
2002-11-01,6.103448275862069,,0.8396868881943256
2002-12-01,6.533333333333333,,0.4729423090694862
2003-01-01,6.787878787878788,,0.7062508802273761
2003-02-01,6.1,,-0.12952643366664596
2003-03-01,6.303030303030303,,-0.10635751200004151
2003-04-01,7.851851851851852,,1.698522243236643
2003-05-01,7.0344827586206895,,-0.026341045814024966
2003-06-01,6.4,,-0.6521773942127886
2003-07-01,9.03125,,2.34963998280086
2003-08-01,14.3,,6.711675217537409
2003-09-01,6.5,,-4.434215328225658
2003-10-01,7.09375,,-1.77619923015353
2003-11-01,6.586206896551724,,-1.4996241203824763
2003-12-01,6.433333333333334,,-1.2397403004968277
2004-01-01,7.0625,,0.004603410233503524
2004-02-01,8.321428571428571,,1.5228962996233104
2004-03-01,7.433333333333334,,-0.2563360893438986
2004-04-01,6.379310344827586,,-1.4850810023650851
2004-05-01,6.9393939393939394,,-0.05668981698420339
2004-06-01,7.892857142857143,,1.0179254045798167
2004-07-01,9.848484848484848,,1.8358394459414402
2004-08-01,9.533333333333333,,-0.47630159150121365
2004-09-01,7.7,,-0.31175521607857615
2004-10-01,7.34375,,-0.6711854069875258
2004-11-01,8.620689655172415,,0.9748958047501457
2004-12-01,8.333333333333334,,0.09997322390396413
2005-01-01,8.818181818181818,,0.3830207467308213
2005-02-01,8.793103448275861,,0.04232064833264104
2005-03-01,8.65625,,0.005053031756951043
2005-04-01,10.862068965517242,,2.219234225447849
2005-05-01,9.428571428571429,,-0.26324155670722327
2005-06-01,10.172413793103448,,0.45751821183804786
2005-07-01,11.709677419354838,,0.829813549960976
2005-08-01,14.1,,2.036946940044553
2005-09-01,12.357142857142858,,1.1021840023267266
2005-10-01,10.9375,,-0.8608964068605793
2005-11-01,11.310344827586206,,-0.3325407890164076
2005-12-01,12.96774193548387,,1.50087219774219
2006-01-01,12.0,,-0.4060765742005916
2006-02-01,12.033333333333333,,-0.317283900703492
2006-03-01,10.172413793103448,,-1.882345008892413
2006-04-01,12.137931034482758,,0.5118990731137405
2006-05-01,10.161290322580646,,-1.3972261726256008
2006-06-01,9.642857142857142,,-1.5614724298876563
2006-07-01,10.548387096774194,,-0.8652870746419818
2006-08-01,9.966666666666667,,-1.9789534640129514
2006-09-01,10.566666666666666,,0.9471969933499942
2006-10-01,11.71875,,2.0011721689131274
2006-11-01,11.193548387096774,,0.24406667146724992
